FL-County,Democratic Active,Republican Active,No Party Active
Alachua,82372,48903,40597
Baker,5653,7888,1614
Bay,30532,60856,25083
Bradford,6151,7485,2408
Brevard,126739,172319,107201
Broward,593591,253644,331835
Calhoun,5233,2398,951
Charlotte,35923,58363,35156
Citrus,29301,49836,26131
Clay,32757,80673,35223
Collier,47435,103859,50838
Columbia,14351,17421,6932
Desoto,7346,5392,3655
Dixie,4303,3666,1496
Duval,236308,216719,125319
Escambia,70040,92502,41790
Flagler,24754,32414,22268
Franklin,4126,2457,987
Gadsden,22225,4634,2741
Gilchrist,3406,6277,1750
Glades,2886,2565,1196
Gulf,3974,4679,1167
Hamilton,4360,2320,939
Hardee,4605,5113,2118
Hendry,7875,6180,3232
Hernando,41865,53584,34632
Highlands,18059,26558,13263
Hillsborough,320682,261632,236746
Holmes,3395,5934,1143
Indian River,29662,50815,28917
Jackson,14571,9911,2869
Jefferson,5562,2873,1084
Lafayette,2437,1550,299
Lake,69379,99534,56638
Lee,117902,188336,128740
Leon,108006,57161,39745
Levy,9232,12629,4921
Liberty,3177,768,4303
Madison,7013,3371,1283
Manatee,71655,102013,60505
Marion,77574,103713,52065
Martin,27973,55598,27541
Miami-Dade,579043,366839,428045
Monroe,17546,21465,15441
Nassau,14189,37166,12924
Okaloosa,24457,75679,29032
Okeechobee,7340,8635,3881
Orange,340936,216507,247300
Osceola,87847,47503,69956
Palm Beach,386113,259316,266041
Pasco,105832,131336,98827
Pinellas,227720,228866,183244
Polk,143350,143600,113081
Putnam,19088,18243,8981
St. Johns,41858,94592,41309
St. Lucie,78077,63130,54100
Santa Rosa,24973,75441,27057
Sarasota,93584,131530,81400
Seminole,96262,107887,80730
Sumter,23096,50063,19442
Suwannee,9932,11356,3858
Taylor,6582,4415,1212
Union,3379,3078,745
Volusia,126247,130682,108920
Wakulla,8454,8089,3413
Walton,9619,28463,9662
Washington,5455,7977,2194
